,"Ölçü
Birimi","Rayiç Fiyatı
TL",,,,,,,,,
,Poz No,Tanımı,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,İŞÇİLİKLER,,,,,,,,,,
,,,,,,,,,,,
,10.100.1001,Taşcı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1002,Karo kaplama ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1003,Fayans kaplama ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1004,Seramik kaplama ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1005,Mermer kaplama ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1006,Mermer yonucu ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1007,Mozayikci ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1008,Doğramacı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1009,Marangoz ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1010,Yalıtımcı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1011,Lağımcı (Ateşleme ustası),Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1012,Sıvacı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1013,Duvarcı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1014,Kaldırımcı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1015,Betoncu ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1016,Kiremit tipi çatı kaplamacısı,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1017,Dülger ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1018,Sıcak demirci ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1019,Soğuk demirci ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1020,Alçı işleri ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1021,Kaynakçı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1022,Camcı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1023,Boyacı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1024,Badanacı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1025,Döşemeci ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1026,Tenekeci ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1027,Tornacı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1028,Muşambacı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1029,Cilacı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1030,Buvazör (İksa işleri yapar),Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1031,Bakırcı ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1032,Alüminyum ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1033,Alçı levha ustası,Sa,7000,,,,,,,
,,,,,,,,,,,
,10.100.1034,Alçı blok,ustası,Sa,7000,,,,,,
,,,,,,,,,,,
